INSTITUICAO_ENSINO_ALUNO,ANO,NOME
Estácio,2020,ALUNO-161
Escola Pública,2021,ALUNO-162
Escola Pública,2020,ALUNO-163
Escola Pública,2021,ALUNO-164
Escola Pública,2021,ALUNO-165
Escola Pública,2021,ALUNO-167
Escola Pública,2021,ALUNO-168
Escola Pública,2021,ALUNO-169
Escola Pública,2021,ALUNO-17
Escola Pública,2021,ALUNO-171
Escola Pública,2021,ALUNO-173
Einstein,2020,ALUNO-174
Escola Pública,2021,ALUNO-176
Escola Pública,2021,ALUNO-177
Escola Pública,2021,ALUNO-18
Escola Pública,2020,ALUNO-183
Escola Pública,2021,ALUNO-184
Escola Pública,2021,ALUNO-185
Escola Pública,2020,ALUNO-186
Escola Pública,2020,ALUNO-187
Escola Pública,2021,ALUNO-188
Escola Pública,2020,ALUNO-189
Escola Pública,2021,ALUNO-19
Rede Decisão/União,2020,ALUNO-190
Escola Pública,2020,ALUNO-192
Escola Pública,2021,ALUNO-193
Rede Decisão/União,2020,ALUNO-194
Rede Decisão,2021,ALUNO-197
Escola Pública,2020,ALUNO-198
Escola Pública,2020,ALUNO-199
Escola Pública,2021,ALUNO-200
Escola Pública,2021,ALUNO-201
Escola Pública,2020,ALUNO-202
Escola Pública,2021,ALUNO-206
Escola Pública,2021,ALUNO-207
Escola Pública,2021,ALUNO-208
Escola Pública,2021,ALUNO-209
Rede Decisão/União,2020,ALUNO-210
Escola Pública,2021,ALUNO-212
Escola Pública,2021,ALUNO-213
Escola Pública,2020,ALUNO-215
UNISA,2020,ALUNO-216
Escola Pública,2021,ALUNO-217
Escola Pública,2021,ALUNO-218
Escola Pública,2021,ALUNO-219
Escola Pública,2021,ALUNO-221
Escola Pública,2020,ALUNO-222
Escola Pública,2020,ALUNO-223
Rede Decisão,2021,ALUNO-225
Rede Decisão,2021,ALUNO-226
Escola Pública,2020,ALUNO-227
Escola Pública,2021,ALUNO-229
Rede Decisão/União,2020,ALUNO-230
Escola Pública,2021,ALUNO-231
Escola Pública,2021,ALUNO-232
Rede Decisão,2021,ALUNO-235
Escola Pública,2021,ALUNO-238
Escola Pública,2021,ALUNO-240
Escola Pública,2021,ALUNO-241
Escola Pública,2021,ALUNO-242
Escola Pública,2021,ALUNO-243
Escola Pública,2021,ALUNO-246
Escola Pública,2021,ALUNO-247
Escola Pública,2021,ALUNO-249
Escola Pública,2021,ALUNO-251
Escola Pública,2021,ALUNO-252
Escola Pública,2021,ALUNO-258
Rede Decisão/União,2020,ALUNO-259
Escola Pública,2021,ALUNO-260
Escola Pública,2021,ALUNO-261
Rede Decisão,2021,ALUNO-262
Rede Decisão,2021,ALUNO-263
Escola Pública,2020,ALUNO-265
Escola Pública,2021,ALUNO-266
Rede Decisão,2021,ALUNO-267
Escola Pública,2020,ALUNO-269
Escola Pública,2020,ALUNO-270
Escola Pública,2021,ALUNO-271
Escola Pública,2021,ALUNO-273
Escola Pública,2021,ALUNO-274
Escola Pública,2021,ALUNO-275
Escola Pública,2021,ALUNO-277
Escola Pública,2020,ALUNO-278
Rede Decisão,2021,ALUNO-28
Escola Pública,2020,ALUNO-280
Escola Pública,2021,ALUNO-282
Escola Pública,2021,ALUNO-283
Escola Pública,2020,ALUNO-284
Escola Pública,2020,ALUNO-285
Escola Pública,2020,ALUNO-286
Escola Pública,2020,ALUNO-287
Rede Decisão,2021,ALUNO-288
Escola Pública,2021,ALUNO-29
Escola Pública,2020,ALUNO-292
Escola Pública,2021,ALUNO-293
Escola Pública,2021,ALUNO-294
Escola Pública,2021,ALUNO-295
Escola Pública,2021,ALUNO-296
Escola Pública,2021,ALUNO-297
Escola Pública,2020,ALUNO-298
Estácio,2020,ALUNO-299
Escola Pública,2021,ALUNO-3
Escola Pública,2020,ALUNO-30
UNISA,2020,ALUNO-300
Escola Pública,2021,ALUNO-301
Escola Pública,2021,ALUNO-303
Rede Decisão,2021,ALUNO-305
Escola Pública,2020,ALUNO-306
Escola Pública,2020,ALUNO-309
Escola Pública,2021,ALUNO-310
Rede Decisão,2021,ALUNO-312
Escola Pública,2021,ALUNO-313
Rede Decisão,2021,ALUNO-315
Escola Pública,2020,ALUNO-316
Escola Pública,2020,ALUNO-318
Escola Pública,2021,ALUNO-319
Rede Decisão,2021,ALUNO-321
Rede Decisão,2021,ALUNO-323
Rede Decisão,2021,ALUNO-324
Escola Pública,2020,ALUNO-328
Rede Decisão/União,2020,ALUNO-329
Escola Pública,2020,ALUNO-33
Escola Pública,2020,ALUNO-330
Escola Pública,2021,ALUNO-331
Escola Pública,2021,ALUNO-332
Escola Pública,2020,ALUNO-335
Escola Pública,2021,ALUNO-336
Rede Decisão,2021,ALUNO-337
Escola Pública,2020,ALUNO-338
Escola Pública,2021,ALUNO-339
Escola Pública,2021,ALUNO-34
Escola Pública,2021,ALUNO-340
FIAP,2020,ALUNO-341
Rede Decisão,2021,ALUNO-342
Escola Pública,2021,ALUNO-343
Escola Pública,2020,ALUNO-344
Escola Pública,2021,ALUNO-345
Escola Pública,2021,ALUNO-346
Escola Pública,2021,ALUNO-348
Escola Pública,2021,ALUNO-349
Escola Pública,2021,ALUNO-35
Escola Pública,2021,ALUNO-352
Escola Pública,2020,ALUNO-353
Escola Pública,2020,ALUNO-354
Escola Pública,2020,ALUNO-355
Escola Pública,2021,ALUNO-357
Escola Pública,2021,ALUNO-359
Escola Pública,2021,ALUNO-36
Escola Pública,2020,ALUNO-361
Escola Pública,2021,ALUNO-363
Escola Pública,2021,ALUNO-364
Rede Decisão,2021,ALUNO-365
Escola Pública,2021,ALUNO-367
UNISA,2020,ALUNO-368
Escola Pública,2021,ALUNO-37
Escola Pública,2021,ALUNO-370
Rede Decisão/União,2020,ALUNO-371
Escola Pública,2021,ALUNO-372
Escola Pública,2021,ALUNO-373
Escola Pública,2021,ALUNO-374
Rede Decisão,2021,ALUNO-375
Escola Pública,2021,ALUNO-376
Rede Decisão,2021,ALUNO-377
Rede Decisão,2021,ALUNO-378
Escola Pública,2021,ALUNO-379
Escola Pública,2021,ALUNO-38
FIAP,2020,ALUNO-380
Escola Pública,2021,ALUNO-381
FIAP,2020,ALUNO-382
Escola Pública,2021,ALUNO-383
Escola Pública,2021,ALUNO-384
Escola Pública,2021,ALUNO-385
Escola Pública,2021,ALUNO-387
Escola Pública,2021,ALUNO-388
Rede Decisão,2021,ALUNO-389
Escola Pública,2020,ALUNO-39
Escola Pública,2020,ALUNO-390
Escola Pública,2021,ALUNO-393
Rede Decisão,2021,ALUNO-394
Escola Pública,2021,ALUNO-396
Rede Decisão,2021,ALUNO-397
Escola Pública,2020,ALUNO-399
Escola Pública,2020,ALUNO-4
Escola Pública,2021,ALUNO-40
Escola Pública,2021,ALUNO-400
Escola Pública,2020,ALUNO-401
Escola Pública,2021,ALUNO-403
Rede Decisão,2021,ALUNO-404
Escola Pública,2021,ALUNO-405
Escola Pública,2021,ALUNO-406
Rede Decisão,2021,ALUNO-407
Escola Pública,2021,ALUNO-408
Escola Pública,2021,ALUNO-41
Escola Pública,2020,ALUNO-414
Escola Pública,2021,ALUNO-416
Escola Pública,2021,ALUNO-42
Escola Pública,2021,ALUNO-421
Escola Pública,2021,ALUNO-422
Escola Pública,2021,ALUNO-423
Escola Pública,2021,ALUNO-424
Escola Pública,2021,ALUNO-425
Escola Pública,2020,ALUNO-426
Escola Pública,2020,ALUNO-43
Escola Pública,2020,ALUNO-431
Escola Pública,2021,ALUNO-432
Escola Pública,2021,ALUNO-435
Escola Pública,2021,ALUNO-436
Escola Pública,2021,ALUNO-437
Escola Pública,2021,ALUNO-438
Escola Pública,2020,ALUNO-439
Escola Pública,2020,ALUNO-44
Escola Pública,2021,ALUNO-440
Escola Pública,2021,ALUNO-441
Escola Pública,2021,ALUNO-442
Escola Pública,2020,ALUNO-443
Escola Pública,2021,ALUNO-444
Escola Pública,2020,ALUNO-445
Escola Pública,2021,ALUNO-447
Escola Pública,2021,ALUNO-448
Escola Pública,2021,ALUNO-449
Escola Pública,2020,ALUNO-45
Escola Pública,2021,ALUNO-450
Escola Pública,2021,ALUNO-451
Escola Pública,2021,ALUNO-452
Escola Pública,2020,ALUNO-453
Escola Pública,2021,ALUNO-455
Escola Pública,2020,ALUNO-457
Escola Pública,2020,ALUNO-458
Escola Pública,2020,ALUNO-459
Escola Pública,2021,ALUNO-46
Escola Pública,2020,ALUNO-460
Escola Pública,2020,ALUNO-462
Rede Decisão,2021,ALUNO-463
Escola Pública,2020,ALUNO-464
Escola Pública,2021,ALUNO-465
Escola Pública,2020,ALUNO-466
Escola Pública,2020,ALUNO-467
Escola Pública,2021,ALUNO-468
Rede Decisão,2021,ALUNO-469
Escola Pública,2021,ALUNO-47
Escola Pública,2020,ALUNO-472
Escola Pública,2020,ALUNO-473
Escola Pública,2021,ALUNO-474
Escola Pública,2020,ALUNO-476
Escola Pública,2021,ALUNO-477
Escola Pública,2020,ALUNO-478
Rede Decisão,2021,ALUNO-482
Rede Decisão,2021,ALUNO-483
FIAP,2020,ALUNO-484
Escola Pública,2021,ALUNO-485
Escola Pública,2021,ALUNO-486
Escola Pública,2021,ALUNO-487
Escola Pública,2021,ALUNO-488
Rede Decisão,2021,ALUNO-490
Escola Pública,2020,ALUNO-491
Escola Pública,2020,ALUNO-492
Escola Pública,2021,ALUNO-494
FIAP,2020,ALUNO-495
Rede Decisão,2021,ALUNO-496
Escola Pública,2021,ALUNO-497
Escola Pública,2021,ALUNO-498
Rede Decisão,2021,ALUNO-499
Escola Pública,2021,ALUNO-5
Rede Decisão,2021,ALUNO-500
Escola Pública,2021,ALUNO-502
Escola Pública,2021,ALUNO-503
Escola Pública,2021,ALUNO-506
Escola Pública,2021,ALUNO-507
Escola Pública,2020,ALUNO-509
Escola Pública,2021,ALUNO-51
Escola Pública,2021,ALUNO-511
Rede Decisão,2021,ALUNO-512
Escola Pública,2021,ALUNO-513
Escola Pública,2020,ALUNO-515
Escola Pública,2020,ALUNO-517
Rede Decisão,2021,ALUNO-518
Escola Pública,2020,ALUNO-52
Rede Decisão,2021,ALUNO-520
Escola Pública,2021,ALUNO-521
Escola Pública,2021,ALUNO-522
Escola Pública,2021,ALUNO-523
Escola Pública,2021,ALUNO-524
Escola Pública,2021,ALUNO-526
Rede Decisão,2021,ALUNO-527
Escola Pública,2021,ALUNO-529
Einstein,2020,ALUNO-53
Escola Pública,2020,ALUNO-530
Escola Pública,2021,ALUNO-531
Escola Pública,2021,ALUNO-533
Escola Pública,2020,ALUNO-534
Escola Pública,2020,ALUNO-535
Escola Pública,2021,ALUNO-536
Escola Pública,2021,ALUNO-537
Escola Pública,2021,ALUNO-538
Escola Pública,2021,ALUNO-54
Escola Pública,2021,ALUNO-540
Rede Decisão,2021,ALUNO-541
Escola Pública,2021,ALUNO-542
Escola Pública,2021,ALUNO-544
Escola Pública,2020,ALUNO-545
Escola Pública,2021,ALUNO-546
Escola Pública,2021,ALUNO-547
Escola Pública,2021,ALUNO-548
Escola Pública,2020,ALUNO-549
Rede Decisão,2021,ALUNO-55
Escola Pública,2021,ALUNO-550
Escola Pública,2020,ALUNO-552
Escola Pública,2021,ALUNO-555
Escola Pública,2021,ALUNO-557
Escola Pública,2020,ALUNO-559
Escola Pública,2021,ALUNO-56
Escola Pública,2021,ALUNO-560
Escola Pública,2021,ALUNO-561
Rede Decisão,2021,ALUNO-562
Escola Pública,2021,ALUNO-563
Escola Pública,2021,ALUNO-564
Escola Pública,2021,ALUNO-565
Escola Pública,2021,ALUNO-566
Escola Pública,2021,ALUNO-567
Escola Pública,2020,ALUNO-568
Escola Pública,2021,ALUNO-569
Rede Decisão,2021,ALUNO-57
Escola Pública,2021,ALUNO-570
Escola Pública,2021,ALUNO-571
Escola Pública,2021,ALUNO-572
Escola Pública,2021,ALUNO-574
Escola Pública,2020,ALUNO-577
Escola Pública,2021,ALUNO-578
Escola Pública,2021,ALUNO-579
Escola Pública,2020,ALUNO-581
Escola Pública,2021,ALUNO-583
Escola Pública,2021,ALUNO-584
Escola Pública,2021,ALUNO-585
Escola Pública,2021,ALUNO-586
Escola Pública,2021,ALUNO-588
Escola Pública,2021,ALUNO-589
Escola Pública,2020,ALUNO-59
Escola Pública,2021,ALUNO-594
Escola Pública,2021,ALUNO-595
Escola Pública,2021,ALUNO-596
Escola Pública,2020,ALUNO-597
Escola Pública,2020,ALUNO-598
UNISA,2020,ALUNO-599
Rede Decisão,2021,ALUNO-60
Escola Pública,2020,ALUNO-601
Escola Pública,2021,ALUNO-602
Escola Pública,2021,ALUNO-603
Rede Decisão/União,2020,ALUNO-604
Escola Pública,2020,ALUNO-605
Escola Pública,2020,ALUNO-606
Escola Pública,2021,ALUNO-608
UNISA,2020,ALUNO-609
Escola Pública,2021,ALUNO-61
Escola Pública,2021,ALUNO-610
Rede Decisão/União,2020,ALUNO-611
Escola Pública,2021,ALUNO-613
Escola Pública,2020,ALUNO-614
Escola Pública,2021,ALUNO-615
Escola Pública,2020,ALUNO-616
Escola Pública,2021,ALUNO-617
Escola Pública,2020,ALUNO-618
Escola Pública,2021,ALUNO-619
Escola Pública,2021,ALUNO-62
Escola Pública,2021,ALUNO-620
Escola Pública,2021,ALUNO-622
Escola Pública,2021,ALUNO-624
Escola Pública,2020,ALUNO-625
Escola Pública,2020,ALUNO-626
Escola Pública,2021,ALUNO-627
Escola Pública,2021,ALUNO-628
FIAP,2020,ALUNO-629
FIAP,2020,ALUNO-630
Escola Pública,2020,ALUNO-631
Escola Pública,2021,ALUNO-632
Escola JP II,2021,ALUNO-634
Escola Pública,2021,ALUNO-635
Escola Pública,2020,ALUNO-636
Escola Pública,2021,ALUNO-638
Escola Pública,2020,ALUNO-639
Escola Pública,2020,ALUNO-640
Escola Pública,2021,ALUNO-642
Rede Decisão,2021,ALUNO-644
Escola Pública,2021,ALUNO-645
Escola Pública,2021,ALUNO-646
Escola Pública,2021,ALUNO-647
Escola Pública,2020,ALUNO-648
Escola Pública,2021,ALUNO-65
Escola Pública,2021,ALUNO-653
Escola Pública,2020,ALUNO-655
Escola Pública,2021,ALUNO-657
Escola Pública,2021,ALUNO-658
Escola Pública,2021,ALUNO-659
Escola Pública,2021,ALUNO-66
Escola Pública,2021,ALUNO-660
Rede Decisão/União,2020,ALUNO-661
Escola Pública,2021,ALUNO-663
Rede Decisão,2021,ALUNO-664
Escola Pública,2020,ALUNO-666
Escola Pública,2021,ALUNO-668
Escola Pública,2021,ALUNO-67
Rede Decisão,2021,ALUNO-670
Escola Pública,2021,ALUNO-671
Escola Pública,2021,ALUNO-672
Escola Pública,2021,ALUNO-675
Escola Pública,2020,ALUNO-676
Escola Pública,2020,ALUNO-677
Escola Pública,2020,ALUNO-678
Escola Pública,2020,ALUNO-68
Escola Pública,2020,ALUNO-680
Escola Pública,2021,ALUNO-681
Escola Pública,2021,ALUNO-682
Escola Pública,2020,ALUNO-683
Escola Pública,2020,ALUNO-684
Escola Pública,2021,ALUNO-685
Escola Pública,2021,ALUNO-686
Escola Pública,2021,ALUNO-687
Escola Pública,2021,ALUNO-688
Rede Decisão,2021,ALUNO-689
Escola Pública,2021,ALUNO-690
Escola Pública,2020,ALUNO-691
Escola Pública,2021,ALUNO-693
Escola Pública,2021,ALUNO-694
Escola Pública,2021,ALUNO-695
Escola Pública,2020,ALUNO-696
Escola Pública,2021,ALUNO-698
Escola Pública,2020,ALUNO-699
Escola Pública,2021,ALUNO-700
Escola Pública,2020,ALUNO-702
Escola Pública,2021,ALUNO-703
Escola Pública,2020,ALUNO-704
Escola Pública,2021,ALUNO-706
Escola Pública,2021,ALUNO-707
Escola Pública,2021,ALUNO-708
Escola Pública,2021,ALUNO-709
Escola Pública,2021,ALUNO-71
Rede Decisão,2021,ALUNO-710
Escola Pública,2020,ALUNO-712
Escola Pública,2021,ALUNO-713
Escola Pública,2020,ALUNO-714
Escola Pública,2021,ALUNO-716
Escola Pública,2021,ALUNO-717
Escola Pública,2020,ALUNO-718
Escola Pública,2020,ALUNO-719
Escola Pública,2020,ALUNO-720
Escola Pública,2021,ALUNO-721
Escola Pública,2021,ALUNO-722
Escola Pública,2020,ALUNO-724
Escola Pública,2021,ALUNO-725
Escola Pública,2021,ALUNO-726
Escola Pública,2021,ALUNO-729
Rede Decisão,2021,ALUNO-730
Escola Pública,2020,ALUNO-731
Rede Decisão,2021,ALUNO-732
Rede Decisão,2021,ALUNO-733
Escola Pública,2021,ALUNO-736
