ANO,IAA_Mean,IAA_Std,IEG_Mean,IEG_Std,IPS_Mean,IPS_Std,IDA_Mean,IDA_Std,IPP_Mean,IPP_Std,IPV_Mean,IPV_Std,IAN_Mean,IAN_Std,INDE_Mean,INDE_Std,IAA_Plus_Std,IAA_Minus_Std,IEG_Plus_Std,IEG_Minus_Std,IPS_Plus_Std,IPS_Minus_Std,IDA_Plus_Std,IDA_Minus_Std,IPP_Plus_Std,IPP_Minus_Std,IPV_Plus_Std,IPV_Minus_Std,IAN_Plus_Std,IAN_Minus_Std,INDE_Plus_Std,INDE_Minus_Std
2020,8.368881691884457,1.727980053673324,7.681155433287483,2.382122299991283,6.737448418156808,1.3740109600011985,6.322260430994957,2.9600731835459073,7.067858780375974,1.9880536513369773,7.242243402109124,1.775110228578537,7.431224209078405,2.55694409399165,7.296110577258139,1.199924761526928,10.096861745557781,6.640901638211133,10.063277733278767,5.2990331332961995,8.111459378158006,5.36343745815561,9.282333614540864,3.3621872474490497,9.055912431712951,5.079805129038997,9.01735363068766,5.467133173530587,9.988168303070054,4.874280115086755,8.496035338785067,6.096185815731211
2021,8.153498542274052,2.1936293306171537,6.822594752186589,2.4586269330905828,6.843586005830904,1.4571478883437365,5.425947521865889,2.1415657462280278,7.576384839650145,1.072317521884554,7.407580174927114,1.627079504062632,6.902332361516035,2.4849785994530245,6.888016081871346,1.3541801649758085,10.347127872891207,5.9598692116568985,9.281221685277172,4.363967819096006,8.300733894174641,5.386438117487168,7.567513268093917,3.2843817756378613,8.6487023615347,6.504067317765591,9.034659678989746,5.780500670864482,9.38731096096906,4.41735376206301,8.242196246847154,5.533835916895537
2022,8.26306530162413,2.0802639670687553,7.8807276444298315,1.6490228169292416,6.901102088167053,1.0702021762472802,6.070688321732406,2.059346013993776,6.299364365815932,1.1355096352539706,7.247952555104408,1.0985482345160225,6.421113689095128,2.387816474420733,7.028338248723554,1.0299117901917076,10.343329268692884,6.182801334555374,9.529750461359074,6.2317048275005895,7.971304264414333,5.830899911919773,8.130034335726181,4.01134230773863,7.434874001069902,5.163854730561962,8.34650078962043,6.149404320588386,8.80893016351586,4.033297214674395,8.058250038915261,5.9984264585318465
